,Total Population,Pop. that Works from Home,Single Occupant Households,Single Parent Households,Married Parent Households,Undergrads and Grads,Diploma/GED attained,Degree attained,Households in Poverty,Below 40k Earners,40k-100k Earners,Above 100k Earners,Unemployed,Renter Occupied Households,Owner Occupied Households,Crime Counts,walk_score,transit_score,Fast Food Count,Fast Food Consumers,raw_visit_count
421010001001,1762,47,634,13,45,236,74,1145,1123,257,279,587,0,853,270,334,100,100,1.0,1121.0,138223.0
421010001002,2250,59,564,0,51,202,167,1405,1182,174,397,611,82,708,474,178,97,100,1.0,710.0,253908.0
421010002001,2563,8,313,0,195,445,308,955,950,425,225,300,119,592,358,547,99,100,3.0,1370.0,227669.0
421010003001,942,45,219,0,18,260,21,442,437,117,82,238,30,428,9,587,96,100,3.0,2106.0,283647.0
421010003002,2588,102,616,26,117,294,259,1331,1328,373,359,596,72,898,430,102,94,100,0.0,0.0,102105.0
421010004011,2666,162,991,8,25,512,161,1657,1670,700,433,537,101,1255,415,262,99,100,3.0,3987.0,170615.0
421010004021,1232,0,657,0,0,13,231,514,945,399,279,267,0,225,720,118,100,100,1.0,35.0,68563.0
421010004022,1970,82,967,0,24,250,139,1348,1435,336,720,379,38,713,722,1762,100,100,10.0,3440.0,489064.0
421010005001,2451,36,602,0,29,418,558,604,874,432,262,180,119,824,50,1877,99,100,9.0,12381.0,1875000.0
421010006001,1301,59,450,13,29,430,48,510,676,175,263,238,58,643,33,539,100,100,4.0,1275.0,223921.0
421010007001,665,32,501,0,14,35,50,298,570,143,306,121,13,367,203,81,100,100,0.0,0.0,79054.0
421010007002,1780,58,702,0,66,649,76,1242,1114,353,358,403,1,793,321,1077,100,100,6.0,1247.0,211426.0
421010007003,809,18,448,0,0,363,40,267,593,345,149,99,39,577,16,65,98,100,2.0,434.0,53594.0
421010008011,1588,55,427,0,72,482,43,1019,907,225,281,401,23,693,214,45,95,100,0.0,0.0,33962.0
421010008031,734,124,368,0,0,229,38,567,525,219,306,0,45,453,72,30,99,100,0.0,0.0,18961.0
421010008032,1294,124,452,53,56,381,0,810,711,193,307,211,16,509,202,57,99,100,1.0,332.0,31215.0
421010008033,570,109,256,0,0,81,0,356,404,101,160,143,0,210,194,86,99,100,0.0,0.0,51565.0
421010008034,971,120,379,0,14,245,50,616,654,122,273,259,9,296,358,30,99,100,1.0,842.0,23787.0
421010008041,1699,135,580,0,58,284,120,931,1016,206,461,349,48,759,257,221,100,100,2.0,658.0,71890.0
421010008042,967,71,254,11,9,89,102,411,540,82,191,267,56,223,317,165,99,100,0.0,0.0,64709.0
421010008043,1416,90,712,0,15,297,15,842,1031,121,299,611,21,1031,0,223,100,100,3.0,833.0,76544.0
421010009011,1133,0,438,19,0,304,78,570,715,225,406,84,53,660,55,504,100,100,1.0,636.0,68422.0
421010009012,1026,57,593,0,27,285,66,571,772,443,200,129,58,727,45,527,100,100,0.0,0.0,114806.0
421010009021,1416,14,490,0,74,234,116,577,847,430,168,249,8,734,113,89,99,100,0.0,0.0,54839.0
421010009022,1247,105,224,8,13,694,68,469,395,98,123,174,5,301,94,63,100,100,3.0,2400.0,46555.0
